[17:48:37] [INFO] received Windows console close event; shutting log-core down
[19:07:21] [INFO] received Windows console close event; shutting log-core down
[19:08:02] [INFO] received Windows console close event; shutting log-core down
[19:10:40] [INFO] received Windows console close event; shutting log-core down
[19:11:43] [INFO] received Windows console close event; shutting log-core down
[20:52:54] [INFO] received Windows console close event; shutting log-core down
[20:56:18] [INFO] received Windows console close event; shutting log-core down
[21:06:07] [INFO] received Windows console close event; shutting log-core down
[21:16:47] [INFO] received Windows console close event; shutting log-core down
[21:18:05] [INFO] received Windows console close event; shutting log-core down
[21:19:05] [INFO] received Windows console close event; shutting log-core down
[21:19:47] [INFO] received Windows console close event; shutting log-core down
[21:22:34] [INFO] received Windows console close event; shutting log-core down
[21:28:38] [INFO] received Windows console close event; shutting log-core down
[21:28:38] [INFO] received Windows console close event; shutting log-core down
[21:32:20] [INFO] received Windows console close event; shutting log-core down
[21:39:10] [INFO] received Windows console close event; shutting log-core down
[21:40:00] [INFO] received Windows console close event; shutting log-core down
[21:44:42] [INFO] received Windows console close event; shutting log-core down
[21:48:51] [INFO] received Windows console close event; shutting log-core down
[21:49:55] [INFO] received Windows console close event; shutting log-core down
[21:52:38] [INFO] received Windows console close event; shutting log-core down
[21:52:40] [INFO] received Windows console close event; shutting log-core down
[21:52:51] [INFO] received Windows console close event; shutting log-core down
[21:52:51] [INFO] received Windows console close event; shutting log-core down
[21:53:37] [INFO] received Windows console close event; shutting log-core down
[21:54:57] [INFO] received Windows console close event; shutting log-core down
[21:57:59] [INFO] received Windows console close event; shutting log-core down
[21:59:21] [INFO] received Windows console close event; shutting log-core down
[22:03:01] [INFO] received Windows console close event; shutting log-core down
[22:07:25] [INFO] received Windows console close event; shutting log-core down
[22:15:00] [INFO] received Windows console close event; shutting log-core down
[22:20:57] [INFO] received Windows console close event; shutting log-core down
[22:24:37] [INFO] received Windows console close event; shutting log-core down
[23:11:23] [INFO] received Windows console close event; shutting log-core down
[11:44:46] [INFO] received Windows console close event; shutting log-core down
[11:56:29] [INFO] received Windows console close event; shutting log-core down
[11:57:52] [INFO] received Windows console close event; shutting log-core down
[12:08:45] [INFO] received Windows console close event; shutting log-core down
[12:09:24] [INFO] received Windows console close event; shutting log-core down
[12:17:22] [INFO] received Windows console close event; shutting log-core down
[12:18:28] [INFO] received Windows console close event; shutting log-core down
[12:19:24] [INFO] received Windows console close event; shutting log-core down
[12:20:22] [INFO] received Windows console close event; shutting log-core down
[12:45:22] [INFO] received Windows console close event; shutting log-core down
[12:45:33] [INFO] received Windows console close event; shutting log-core down
[13:34:19] [INFO] received Windows console close event; shutting log-core down
[13:36:50] [INFO] received Windows console close event; shutting log-core down
[13:39:18] [INFO] received Windows console close event; shutting log-core down
[13:40:00] [INFO] received Windows console close event; shutting log-core down
[13:40:50] [INFO] received Windows console close event; shutting log-core down
[13:42:11] [INFO] received Windows console close event; shutting log-core down
[14:11:34] [INFO] received Windows console close event; shutting log-core down
[14:25:45] [INFO] received Windows console close event; shutting log-core down
[14:27:34] [INFO] received Windows console close event; shutting log-core down
[14:28:21] [INFO] received Windows console close event; shutting log-core down
[14:33:08] [INFO] received Windows console close event; shutting log-core down
[14:37:32] [INFO] received Windows console close event; shutting log-core down
[14:38:29] [INFO] received Windows console close event; shutting log-core down
[14:44:41] [INFO] received Windows console close event; shutting log-core down
[14:50:18] [INFO] received Windows console close event; shutting log-core down
[14:55:10] [INFO] received Windows console close event; shutting log-core down
[14:55:56] [INFO] received Windows console close event; shutting log-core down
[15:01:25] [INFO] received Windows console close event; shutting log-core down
[15:02:44] [INFO] received Windows console close event; shutting log-core down
[15:04:10] [INFO] received Windows console close event; shutting log-core down
[15:08:42] [INFO] received Windows console close event; shutting log-core down
[15:10:02] [INFO] received Windows console close event; shutting log-core down
[15:11:09] [INFO] received Windows console close event; shutting log-core down
[15:12:36] [INFO] received Windows console close event; shutting log-core down
[15:16:42] [INFO] received Windows console close event; shutting log-core down
[15:23:16] [INFO] received Windows console close event; shutting log-core down
